team_id,overall,power,tier,week
1,10,10,4,1
2,2,2,1,1
3,4,4,1,1
4,6,6,2,1
5,3,3,1,1
6,8,8,3,1
7,1,1,1,1
8,7,7,2,1
9,9,9,3,1
10,5,5,1,1
